list_name,name,label,region
district,vinnytskyi,Винницкий,vinnytsia
district,gaisynskyi,Гайсинский,vinnytsia
district,zhmerynsky,Жмеринский,vinnytsia
district,mohyliv_podilskyi,Могилёв-Подольский,vinnytsia
district,tulchynsky,Тульчинский,vinnytsia
district,khmelnytskyi,Хмельникский,vinnytsia
district,volodymyrskyi,Владимирский,volyn
district,kamin_kashyrskyi,Камень-Каширский,volyn
district,kovel,Ковельский,volyn
district,lutsk,Луцкий,volyn
district,dniprovskyi,Днепровский,dnipropetrovsk
district,kamianskyi,Каменский,dnipropetrovsk
district,kryvorizkyi,Криворожский,dnipropetrovsk
district,nikopolskyi,Никопольский,dnipropetrovsk
district,pavlogradskyi,Павлоградский,dnipropetrovsk
district,samarskyi,Самаровский,dnipropetrovsk
district,sinelnykivskyi,Синельниковский,dnipropetrovsk
district,bakhmutskyi,Бахмутский,donetsk
district,volnovakhskyi,Волновахский,donetsk
district,horlivskyi,Горловский,donetsk
district,donetskyi,Донецкий,donetsk
district,kalmiuskyi,Кальмиусский,donetsk
district,kramatorskyi,Краматорский,donetsk
district,mariupolskyi,Мариупольский,donetsk
district,pokrovskyi,Покровский,donetsk
district,berdychivskyi,Бердичевский,zhytomyr
district,zhytomyrskyi,Житомирский,zhytomyr
district,korostenskyi,Коростенский,zhytomyr
district,zvyagelskyi,Звягельский,zhytomyr
district,berehivskyi,Береговский,zakarpattia
district,mukachivskyi,Мукачевский,zakarpattia
district,rakhivskyi,Раховский,zakarpattia
district,tyachivskyi,Тячевский,zakarpattia
district,uzhhorodskyi,Ужгородский,zakarpattia
district,khustskyi,Хустский,zakarpattia
district,berdianskyi,Бердянский,zaporizhzhia
district,vasylivskyi,Васильевский,zaporizhzhia
district,zaporizkyi,Запорожский,zaporizhzhia
district,melitopolskyi,Мелитопольский,zaporizhzhia
district,polohivskyi,Пологовский,zaporizhzhia
district,verkhovynskyi,Верховинский,ivano_frankivsk
district,ivano_frankivskyi,Ивано-Франковский,ivano_frankivsk
district,kaluskyi,Калушский,ivano_frankivsk
district,kolomyiskyi,Коломыйский,ivano_frankivsk
district,kosivskyi,Косовский,ivano_frankivsk
district,nadvirnianskyi,Надворнянский,ivano_frankivsk
district,belotserkivskyi,Белоцерковский,kyiv
district,boryspilskyi,Бориспольский,kyiv
district,brovarskyi,Броварский,kyiv
district,buchanskyi,Бучанский,kyiv
district,vyshhorodskyi,Вышгородский,kyiv
district,obukhivskyi,Обуховский,kyiv
district,fastivskyi,Фастовский,kyiv
district,holovanivskyi,Голованевский,kirovohrad
district,kropyvnytskyi,Кропивницкий,kirovohrad
district,novoukrainskyi,Новоукраинский,kirovohrad
district,oleksandriiskyi,Александрийский,kirovohrad
district,alchevskyi,Алчевский,luhansk
district,dovzhanskyi,Должанский,luhansk
district,luhanskyi,Луганский,luhansk
district,rovenkivskyi,Ровеньковский,luhansk
district,svatovskyi,Сватовский,luhansk
district,severodonetskyi,Северодонецкий,luhansk
district,starobilskyi,Старобельский,luhansk
district,shchastynskyi,Счастьинский,luhansk
district,drohobytskyi,Дрогобычский,lviv
district,zolochivskyi,Золочевский,lviv
district,lvivskyi,Львовский,lviv
district,sambirskyi,Самборский,lviv
district,stryiskyi,Стрыйский,lviv
district,sheptytskyi,Шептицкий,lviv
district,yavorivskyi,Яворовский,lviv
district,bashtanskyi,Баштанский,mykolaiv
district,voznesenskyi,Вознесенский,mykolaiv
district,mykolaivskyi,Николаевский,mykolaiv
district,pervomaiskyi,Первомайский,mykolaiv
district,berezivskyi,Березовский,odesa
district,bilhorod_dnistrovskyi,Белгород-Днестровский,odesa
district,bolhradskyi,Болградский,odesa
district,izmailskyi,Измаильский,odesa
district,odeskyi,Одесский,odesa
district,podilskyi,Подольский,odesa
district,rozdilnianskyi,Раздельнянский,odesa
district,kremenchutskyi,Кременчугский,poltava
district,lubenskyi,Лубенский,poltava
district,myrhorodskyi,Миргородский,poltava
district,poltavskyi,Полтавский,poltava
district,varaskyi,Варашский,rivne
district,dubenskyi,Дубенский,rivne
district,rivnenskyi,Ровненский,rivne
district,sarnenskyi,Сарненский,rivne
district,konotopskyi,Конотопский,sumy
district,okhtyrskyi,Ахтырский,sumy
district,romenskyi,Роменский,sumy
district,sumskyi,Сумский,sumy
district,shostkynskyi,Шосткинский,sumy
district,kremenetskyi,Кременецкий,ternopil
district,ternopilskyi,Тернопольский,ternopil
district,chortkivskyi,Чортковский,ternopil
district,berestynskyi,Берестинский,kharkiv
district,bohodukhivskyi,Богодуховский,kharkiv
district,iziumskyi,Изюмский,kharkiv
district,kupianskyi,Купянский,kharkiv
district,lozivskyi,Лозовский,kharkiv
district,kharkivskyi,Харьковский,kharkiv
district,chuhuivskyi,Чугуевский,kharkiv
district,beryslavskyi,Бериславский,kherson
district,henicheskyi,Генический,kherson
district,kakhovsky,Каховский,kherson
district,skadovskyi,Скадовский,kherson
district,khersonskyi,Херсонский,kherson
district,kamianets_podilskyi,Каменец-Подольский,khmelnytskyi
district,khmelnytskyi,Хмельницкий,khmelnytskyi
district,shepetivskyi,Шепетовский,khmelnytskyi
district,zvenyhorodskyi,Звенигородский,cherkasy
district,zolotonoshskyi,Золотоношский,cherkasy
district,umanskyi,Уманский,cherkasy
district,cherkaskyi,Черкасский,cherkasy
district,vyzhnytskyi,Вижницкий,chernivtsi
district,dnistrovskyi,Днестровский,chernivtsi
district,chernivetskyi,Черновицкий,chernivtsi
district,koriukivskyi,Корюковский,chernihiv
district,nezhynskyi,Нежинский,chernihiv
district,Novhorod_siverskyi,Новгород-Северский,chernihiv
district,prylutskyi,Прилукский,chernihiv
district,chernihivskyi,Черниговский,chernihiv
district,bakhchysaraiskyi,Бахчисарайский,crimea
district,bilohirskyi,Белогорский,crimea
district,dzhankoiskyi,Джанкойский,crimea
district,yevpatoriiskyi,Евпаторийский,crimea
district,kerchenskyi,Керченский,crimea
district,kurmanskyi,Курманский,crimea
district,perekopskyi,Перекопский,crimea
district,simferopolskyi,Симферопольский,crimea
district,feodosiiskyi,Феодосийский,crimea
district,yaltynsky,Ялтинский,crimea
