list_name,name,label,region
region,vinnytsia,Винницкая,
region,volyn,Волынская,
region,dnipropetrovsk,Днепропетровская,
region,donetsk,Донецкая,
region,zhytomyr,Житомирская,
region,zakarpattia,Закарпатская,
region,zaporizhzhia,Запорожская,
region,ivano_frankivsk,Ивано-Франковская,
region,kyiv,Киевская,
region,kirovohrad,Кировоградская,
region,luhansk,Луганская,
region,lviv,Львовская,
region,mykolaiv,Николаевская,
region,odesa,Одесская,
region,poltava,Полтавская,
region,rivne,Ровненская,
region,sumy,Сумская,
region,ternopil,Тернопольская,
region,kharkiv,Харьковская,
region,kherson,Херсонская,
region,khmelnytskyi,Хмельницкая,
region,cherkasy,Черкасская,
region,chernivtsi,Черновицкая,
region,chernihiv,Черниговская,
region,crimea,Автономная Республика Крым,
