list_name,name,label::English (eng),label::Ukrainian (uk),district,block
yesno,yes,,Так,,
yesno,no,,Ні,,
district,holosiivskyi,,Голосіївський район,,
district,darnytskyi,,Дарницький район,,
district,desnianskyi,,Деснянський район,,
district,dniprovskyi,,Дніпровський район,,
district,obolonskyi,,Оболонський район,,
district,pecherskyi,,Печерський район,,
district,podilskyi,,Подільський район,,
district,svyatoshynskyi,,Святошинський район,,
district,solomianskyi,,Солом’янський район,,
district,shevchenkivskyi,,Шевченківський район,,
block,holosiiv,,Голосіїв,holosiivskyi,
block,kytaiv,,Китаїв,holosiivskyi,
block,mysholovka,,Мишоловка,holosiivskyi,
block,saperna_slobidka,,Саперна слобідка,holosiivskyi,
block,dobryi_shliakh,,Добрий Шлях,holosiivskyi,
block,korchuvate,,Корчувате,holosiivskyi,
block,demiivka,,Деміївка,holosiivskyi,
block,teremky,,Теремки,holosiivskyi,
block,vita_lytovska,,Віта-Литовська,holosiivskyi,
block,feofaniia,,Феофанія,holosiivskyi,
block,pyrohiv,,Пирогів,holosiivskyi,
block,nyzhnia_telychka,,Нижня Теличка,holosiivskyi,
block,pankivshchyna,,Паньківщина,holosiivskyi,
block,vdng,,ВДНГ,holosiivskyi,
block,montazhnyk,,Монтажник,holosiivskyi,
block,komsomolske,,Комсомольське,holosiivskyi,
block,zhovtneve,,Жовтневе,holosiivskyi,
block,other,,Інше,holosiivskyi,
block,nova_darnytsia,,Нова Дарниця,darnytskyi,
block,kharkivskyi,,Харківський масив,darnytskyi,
block,skhidni_poznyaky,,Східні Позняки,darnytskyi,
block,zakhidni_poznyaky,,Західні Позняки,darnytskyi,
block,pivnichni_osokorky,,Північні Осокорки,darnytskyi,
block,bortnychi,,Бортничі,darnytskyi,
block,other,,Інше,darnytskyi,
block,vyhurivshchyna_troieshchyna,,Вигурівщина-Троєщина,desnianskyi,
block,lisovyi,,Лісовий масив,desnianskyi,
block,selyshche_troieshchyna,,Селище Троєщина,desnianskyi,
block,bykivnia,,Биківня,desnianskyi,
block,other,,Інше,desnianskyi,
block,sotsmisto,,Соцмісто,dniprovskyi,
