"list_name","name","label","region"
"district","khmelnytskyi","Хмельницький","vinnytska"
"district","umanskyi","Уманський","vinnytska"
"district","zhmerynskyi","Жмеринський","vinnytska"
"district","mohyliv-podilskyi","Могилів-Подільський","vinnytska"
"district","tulchynskyi","Тульчинський","vinnytska"
"district","khmilnytskyi","Хмільницький","vinnytska"
"district","berdychivskyi","Бердичівський","vinnytska"
"district","zhytomyrskyi","Житомирський","vinnytska"
"district","vinnytskyi","Вінницький","vinnytska"
"district","haisynskyi","Гайсинський","vinnytska"
"district","podilskyi","Подільський","vinnytska"
"district","holovanivskyi","Голованівський","vinnytska"
"district","dnistrovskyi","Дністровський","vinnytska"
"district","kam'ianets-podilskyi","Кам'янець-Подільський","vinnytska"
"district","bilotserkivskyi","Білоцерківський","vinnytska"
"district","volodymyr-volynskyi","Володимир-Волинський","lvivska"
"district","sambirskyi","Самбірський","lvivska"
"district","lutskyi","Луцький","lvivska"
"district","ternopilskyi","Тернопільський","lvivska"
"district","kremenetskyi","Кременецький","lvivska"
"district","dubenskyi","Дубенський","lvivska"
"district","stryiskyi","Стрийський","lvivska"
"district","chervonohradskyi","Червоноградський","lvivska"
"district","ivano-frankivskyi","Івано-Франківський","lvivska"
"district","kaluskyi","Калуський","lvivska"
"district","yavorivskyi","Яворівський","lvivska"
"district","uzhhorodskyi","Ужгородський","lvivska"
"district","khustskyi","Хустський","lvivska"
"district","drohobytskyi","Дрогобицький","lvivska"
"district","zolochivskyi","Золочівський","lvivska"
"district","lvivskyi","Львівський","lvivska"
"district","mukachivskyi","Мукачівський","lvivska"
"district","skadovskyi","Скадовський","mykolaivska"
"district","khersonskyi","Херсонський","mykolaivska"
"district","mykolaivskyi","Миколаївський","mykolaivska"
"district","berezivskyi","Березівський","mykolaivska"
"district","podilskyi","Подільський","mykolaivska"
"district","novoukrainskyi","Новоукраїнський","mykolaivska"
"district","holovanivskyi","Голованівський","mykolaivska"
"district","kropyvnytskyi","Кропивницький","mykolaivska"
"district","beryslavskyi","Бериславський","mykolaivska"
"district","odeskyi","Одеський","mykolaivska"
"district","kryvorizkyi","Криворізький","mykolaivska"
"district","bashtanskyi","Баштанський","mykolaivska"
"district","voznesenskyi","Вознесенський","mykolaivska"
"district","pervomaiskyi","Первомайський","mykolaivska"
"district","volodymyr-volynskyi","Володимир-Волинський","volynska"
"district","kovelskyi","Ковельський","volynska"
"district","kamin-kashyrskyi","Камінь-Каширський","volynska"
"district","lutskyi","Луцький","volynska"
"district","varaskyi","Вараський","volynska"
"district","rivnenskyi","Рівненський","volynska"
"district","dubenskyi","Дубенський","volynska"
"district","chervonohradskyi","Червоноградський","volynska"
"district","zolochivskyi","Золочівський","volynska"
"district","kakhovskyi","Каховський","dnipropetrovska"
"district","zaporizkyi","Запорізький","dnipropetrovska"
"district","pavlohradskyi","Павлоградський","dnipropetrovska"
"district","kramatorskyi","Краматорський","dnipropetrovska"
"district","kremenchutskyi","Кременчуцький","dnipropetrovska"
"district","oleksandriiskyi","Олександрійський","dnipropetrovska"
"district","krasnohradskyi","Красноградський","dnipropetrovska"
"district","kropyvnytskyi","Кропивницький","dnipropetrovska"
"district","lozivskyi","Лозівський","dnipropetrovska"
"district","beryslavskyi","Бериславський","dnipropetrovska"
"district","dniprovskyi","Дніпровський","dnipropetrovska"
"district","synelnykivskyi","Синельниківський","dnipropetrovska"
"district","kam’ianskyi","Кам’янський","dnipropetrovska"
"district","kryvorizkyi","Криворізький","dnipropetrovska"
"district","nikopolskyi","Нікопольський","dnipropetrovska"
"district","bashtanskyi","Баштанський","dnipropetrovska"
"district","volnovaskyi","Волноваський","dnipropetrovska"
"district","poltavskyi","Полтавський","dnipropetrovska"
"district","pokrovskyi","Покровський","dnipropetrovska"
"district","novomoskovskyi","Новомосковський","dnipropetrovska"
"district","vasylivskyi","Василівський","dnipropetrovska"
"district","polohivskyi","Пологівський","dnipropetrovska"
"district","rovenkivskyi","Ровеньківський","donetska"
"district","horlivskyi","Горлівський","donetska"
"district","kalmiuskyi","Кальміуський","donetska"
"district","kramatorskyi","Краматорський","donetska"
"district","bakhmutskyi","Бахмутський","donetska"
"district","lozivskyi","Лозівський","donetska"
"district","donetskyi","Донецький","donetska"
"district","synelnykivskyi","Синельниківський","donetska"
"district","iziumskyi","Ізюмський","donetska"
"district","svativskyi","Сватівський","donetska"
